grid,taxon,domin,date,site
J5460,Cirsium vulgare,,03/04/2022,Roe
J5460,Plantago lanceolata,,03/04/2022,Roe
J5460,Rumex acetosa,,03/04/2022,Roe
J5460,Achillea millefolium,,03/04/2022,Roe
J5460,Trifolium repens,,03/04/2022,Roe
J5460,Ficaria verna,,03/04/2022,Roe
J5460,Urtica dioica,,03/04/2022,Roe
J5460,Cirsium arvense,,03/04/2022,Roe
J5460,Lotus corniculatus,,03/04/2022,Roe
J5460,Arum maculatum,,03/04/2022,Roe
J5460,Rubus fruticosus agg.,,03/04/2022,Roe
J5460,Veronica chamaedrys,,03/04/2022,Roe
J5460,Galium aparine,,03/04/2022,Roe
J5460,Sambucus nigra,,03/04/2022,Roe
J5460,Hedera helix,,03/04/2022,Roe
J5460,Potentilla anserina,,03/04/2022,Roe
J5460,Juncus effusus,,03/04/2022,Roe
J5460,Prunus spinosa,,03/04/2022,Roe
J5460,Conopodium majus,,03/04/2022,Roe
J5461,Rumex acetosa,,03/04/2022,Roe
J5461,Conopodium majus,,03/04/2022,Roe
J5461,Trifolium repens,,03/04/2022,Roe
J5461,Veronica chamaedrys,,03/04/2022,Roe
J5461,Plantago lanceolata,,03/04/2022,Roe
J5461,Achillea millefolium,,03/04/2022,Roe
J5461,Lotus corniculatus,,03/04/2022,Roe
J5461,Stellaria graminea,,03/04/2022,Roe
J5461,Vicia cracca,,03/04/2022,Roe
J5461,Cirsium vulgare,,03/04/2022,Roe
J542611,Stellaria media,,03/04/2022,Roe
J542611,Cochlearia danica,,03/04/2022,Roe
J542611,Sonchus asper,,03/04/2022,Roe
J542611,Juncus effusus,,03/04/2022,Roe
J542611,Lemna minor,,03/04/2022,Roe
J542611,Rumex obtusifolius,,03/04/2022,Roe
J542611,Heracleum sphondylium,,03/04/2022,Roe
J542611,Trifolium repens,,03/04/2022,Roe
J542611,Veronica chamaedrys,,03/04/2022,Roe
J542611,Cirsium arvense,,03/04/2022,Roe
J542611,Jacobaea vulgaris,,03/04/2022,Roe
J542611,Heracleum sphondylium,,03/04/2022,Roe
J542611,Hedera helix,,03/04/2022,Roe
J542611,Galium aparine,,03/04/2022,Roe
J542611,Prunus spinosa,,03/04/2022,Roe
J542611,Rubus fruticosus agg.,,03/04/2022,Roe
J542611,Urtica dioica,,03/04/2022,Roe
J542611,Sambucus nigra,,03/04/2022,Roe
J542611,Ficaria verna,,03/04/2022,Roe
J542611,Ranunculus repens,,03/04/2022,Roe
J542611,Holcus lanatus,,03/04/2022,Roe
J540610,Rumex acetosella,,03/04/2022,Roe
J540610,Achillea millefolium,,03/04/2022,Roe
J540610,Veronica chamaedrys,,03/04/2022,Roe
J540610,Galium verum,,03/04/2022,Roe
J540610,Stellaria graminea,,03/04/2022,Roe
J540610,Cardamine hirsuta,,03/04/2022,Roe
J540610,Plantago lanceolata,,03/04/2022,Roe
J540610,Trifolium repens,,03/04/2022,Roe
J540610,Hypochaeris radicata,,03/04/2022,Roe
J540610,Lotus corniculatus,,03/04/2022,Roe
J540610,Conopodium majus,,03/04/2022,Roe
J540610,Trifolium pratense,,03/04/2022,Roe
J543609,Rumex crispus,,03/04/2022,Roe
J543609,Iris pseudacorus,,03/04/2022,Roe
J543609,Urtica dioica,,03/04/2022,Roe
J543609,Cirsium vulgare,,03/04/2022,Roe
J543609,Centaurea nigra,,03/04/2022,Roe
J543609,Ficaria verna,,03/04/2022,Roe
J543609,Ranunculus repens,,03/04/2022,Roe
J543609,Potentilla anserina,,03/04/2022,Roe
J543609,Plantago lanceolata,,03/04/2022,Roe
J543609,Trifolium repens,,03/04/2022,Roe
J543609,Rumex obtusifolius,,03/04/2022,Roe
J542609,Beta vulgaris subsp. maritima,,03/04/2022,Roe
J542609,Tripleurospermum maritimum,,03/04/2022,Roe
J542609,Rumex crispus,,03/04/2022,Roe
