grid,taxon,domin,date,site
J5360,Achillea millefolium,,13/04/2022,Darragh
J5360,Potentilla anserina,,13/04/2022,Darragh
J5360,Arum maculatum,,13/04/2022,Darragh
J5360,Callitriche agg.,,13/04/2022,Darragh
J5360,Carex caryophyllea,,13/04/2022,Darragh
J5360,Carex flacca,,13/04/2022,Darragh
J5360,Centaurea nigra,,13/04/2022,Darragh
J5360,Centaurium erythraea,,13/04/2022,Darragh
J5360,Cirsium arvense,,13/04/2022,Darragh
J5360,Cirsium vulgare,,13/04/2022,Darragh
J5360,Conopodium majus,,13/04/2022,Darragh
J5360,Crataegus monogyna,,13/04/2022,Darragh
J5360,Erica cinerea,,13/04/2022,Darragh
J5360,Ficaria verna,,13/04/2022,Darragh
J5360,Filipendula ulmaria,,13/04/2022,Darragh
J5360,Galium aparine,,13/04/2022,Darragh
J5360,Galium verum,,13/04/2022,Darragh
J5360,Glaux maritima,,13/04/2022,Darragh
J5360,Glechoma hederacea,,13/04/2022,Darragh
J5360,Hedera helix,,13/04/2022,Darragh
J5360,Heracleum sphondylium,,13/04/2022,Darragh
J5360,Hypochaeris radicata,,13/04/2022,Darragh
J5360,Iris pseudacorus,,13/04/2022,Darragh
J5360,Lathyrus pratensis,,13/04/2022,Darragh
J5360,Lemna minor,,13/04/2022,Darragh
J5360,Lotus corniculatus,,13/04/2022,Darragh
J5360,Oxalis acetosella,,13/04/2022,Darragh
J5360,Plantago lanceolata,,13/04/2022,Darragh
J5360,Primula vulgaris,,13/04/2022,Darragh
J5360,Prunella vulgaris,,13/04/2022,Darragh
J5360,Prunus spinosa,,13/04/2022,Darragh
J5360,Ranunculus acris,,13/04/2022,Darragh
J5360,Ranunculus repens,,13/04/2022,Darragh
J5360,Rubus fruticosus agg.,,13/04/2022,Darragh
J5360,Rumex acetosa,,13/04/2022,Darragh
J5360,Rumex crispus,,13/04/2022,Darragh
J5360,Stellaria holostea,,13/04/2022,Darragh
J5360,Succisa pratensis,,13/04/2022,Darragh
J5360,Teucrium scorodonia,,13/04/2022,Darragh
J5360,Trifolium pratense,,13/04/2022,Darragh
J5360,Trifolium repens,,13/04/2022,Darragh
J5360,Veronica chamaedrys,,13/04/2022,Darragh
J5360,Veronica officinalis,,13/04/2022,Darragh
J5360,Vicia cracca,,13/04/2022,Darragh
J5360,Viola riviniana,,13/04/2022,Darragh
