grid,taxon,domin,date,site
J53806028,?Elymus,,26/07/2022,Darragh Island Isthmus
J53806028,Agrostis capillaris,9,26/07/2022,Darragh Island Isthmus
J53806028,Cerastium fontanum,1,26/07/2022,Darragh Island Isthmus
J53806028,Achillea millefolium,4,26/07/2022,Darragh Island Isthmus
J53806028,Anthoxanthum odoratum,1,26/07/2022,Darragh Island Isthmus
J53806028,Cynosurus cristatus,2,26/07/2022,Darragh Island Isthmus
J53806028,Dactylis glomerata,6,26/07/2022,Darragh Island Isthmus
J53806028,Festuca rubra,2,26/07/2022,Darragh Island Isthmus
J53806028,Galium verum,7,26/07/2022,Darragh Island Isthmus
J53806028,?Hieracium sp.,1,26/07/2022,Darragh Island Isthmus
J53806028,Holcus lanatus,1,26/07/2022,Darragh Island Isthmus
J53806028,Lolium perenne,4,26/07/2022,Darragh Island Isthmus
J53806028,Lotus corniculatus,3,26/07/2022,Darragh Island Isthmus
J53806028,Odontites vernus,1,26/07/2022,Darragh Island Isthmus
J53806028,Plantago lanceolata,3,26/07/2022,Darragh Island Isthmus
J53806028,Rumex acetosa,3,26/07/2022,Darragh Island Isthmus
J53806028,Trifolium pratense,1,26/07/2022,Darragh Island Isthmus
J53806028,Trifolium repens,4,26/07/2022,Darragh Island Isthmus
J53806028,Veronica chamaedrys,1,26/07/2022,Darragh Island Isthmus
j537603,Suaeda maritima,,26/07/2022,Darragh Island Isthmus W Shore
J53786035,Epilobium sp.,1,26/07/2022,Darragh Island NW Pond
J53786035,Polygonum aviculare agg.,1,26/07/2022,Darragh Island NW Pond
J53786035,Alopecurus geniculatus,4,26/07/2022,Darragh Island NW Pond
J53786035,Gnaphalium uliginosum,4,26/07/2022,Darragh Island NW Pond
J53786035,Juncus bufonius,5,26/07/2022,Darragh Island NW Pond
J53786035,Juncus effusus,4,26/07/2022,Darragh Island NW Pond
J53786035,Lolium perenne,0,26/07/2022,Darragh Island NW Pond
J53786035,Odontites vernus,3,26/07/2022,Darragh Island NW Pond
J53786035,Persicaria maculosa,3,26/07/2022,Darragh Island NW Pond
J53786035,Poa annua,7,26/07/2022,Darragh Island NW Pond
J53786035,Potentilla anserina,4,26/07/2022,Darragh Island NW Pond
J53786035,Glyceria notata,0,26/07/2022,Darragh Island NW Pond
J53786035,Ranunculus sceleratus,1,26/07/2022,Darragh Island NW Pond
J53786035,Rumex crispus,2,26/07/2022,Darragh Island NW Pond
J53786035,Rumex obtusifolius,2,26/07/2022,Darragh Island NW Pond
J53786035,Sagina procumbens,3,26/07/2022,Darragh Island NW Pond
J53786035,Trifolium repens,1,26/07/2022,Darragh Island NW Pond
J53786035,,5,26/07/2022,Darragh Island NW Pond
J53696040,Agrostis capillaris,4,26/07/2022,Darragh Island Heath
J53696040,Festuca ovina agg.,7,26/07/2022,Darragh Island Heath
J53696040,Hypochaeris radicata,3,26/07/2022,Darragh Island Heath
J53696040,Achillea millefolium,2,26/07/2022,Darragh Island Heath
J53696040,Anthoxanthum odoratum,5,26/07/2022,Darragh Island Heath
J53696040,Carex caryophyllea,3,26/07/2022,Darragh Island Heath
J53696040,Carex flacca,3,26/07/2022,Darragh Island Heath
J53696040,Centaurea nigra,4,26/07/2022,Darragh Island Heath
J53696040,Centaurium erythraea,0,26/07/2022,Darragh Island Heath
J53696040,Cynosurus cristatus,2,26/07/2022,Darragh Island Heath
J53696040,Dactylis glomerata,1,26/07/2022,Darragh Island Heath
J53696040,Danthonia decumbens,5,26/07/2022,Darragh Island Heath
J53696040,Erica cinerea,8,26/07/2022,Darragh Island Heath
J53696040,Galium verum,0,26/07/2022,Darragh Island Heath
J53696040,Hypericum humifusum,0,26/07/2022,Darragh Island Heath
J53696040,Lotus corniculatus,3,26/07/2022,Darragh Island Heath
J53696040,Pilosella officinarum,4,26/07/2022,Darragh Island Heath
J53696040,Plantago lanceolata,3,26/07/2022,Darragh Island Heath
J53696040,Potentilla erecta,3,26/07/2022,Darragh Island Heath
J53696040,Prunella vulgaris,1,26/07/2022,Darragh Island Heath
J53696040,Pteridium aquilinum,2,26/07/2022,Darragh Island Heath
J53696040,Rubus fruticosus agg.,1,26/07/2022,Darragh Island Heath
J53696040,Succisa pratensis,5,26/07/2022,Darragh Island Heath
J53696040,Teucrium scorodonia,4,26/07/2022,Darragh Island Heath
J53696040,Trifolium pratense,1,26/07/2022,Darragh Island Heath
J53696040,Veronica officinalis,2,26/07/2022,Darragh Island Heath
J53696040,Viola riviniana,2,26/07/2022,Darragh Island Heath
J53676043,Carex otrubae,,26/07/2022,Darragh Island N Drumlin
J53676043,Linum catharticum,,26/07/2022,Darragh Island N Drumlin
J53676043,Polygala sp.,,26/07/2022,Darragh Island N Drumlin
J53686046,Agrostis capillaris,7,26/07/2022,Darragh Island N Drumlin
J53686046,?Hieracium sp.,4,26/07/2022,Darragh Island N Drumlin
J53686046,?Taraxacum sp.,1,26/07/2022,Darragh Island N Drumlin
J53686046,Achillea millefolium,4,26/07/2022,Darragh Island N Drumlin
J53686046,Anthoxanthum odoratum,2,26/07/2022,Darragh Island N Drumlin
J53686046,Arrhenatherum elatius,1,26/07/2022,Darragh Island N Drumlin
J53686046,Carex caryophyllea,1,26/07/2022,Darragh Island N Drumlin
J53686046,Carex flacca,3,26/07/2022,Darragh Island N Drumlin
J53686046,Centaurea nigra,3,26/07/2022,Darragh Island N Drumlin
J53686046,Cynosurus cristatus,5,26/07/2022,Darragh Island N Drumlin
J53686046,Dactylis glomerata,5,26/07/2022,Darragh Island N Drumlin
J53686046,Festuca rubra,4,26/07/2022,Darragh Island N Drumlin
J53686046,Galium verum,4,26/07/2022,Darragh Island N Drumlin
J53686046,Holcus lanatus,5,26/07/2022,Darragh Island N Drumlin
J53686046,Lathyrus pratensis,0,26/07/2022,Darragh Island N Drumlin
J53686046,Linum catharticum,1,26/07/2022,Darragh Island N Drumlin
J53686046,Lolium perenne,1,26/07/2022,Darragh Island N Drumlin
J53686046,Lotus corniculatus,2,26/07/2022,Darragh Island N Drumlin
J53686046,Plantago lanceolata,4,26/07/2022,Darragh Island N Drumlin
J53686046,Potentilla anglica,4,26/07/2022,Darragh Island N Drumlin
J53686046,Potentilla erecta,1,26/07/2022,Darragh Island N Drumlin
J53686046,Prunella vulgaris,1,26/07/2022,Darragh Island N Drumlin
J53686046,?Ranunculus bulbosus,0,26/07/2022,Darragh Island N Drumlin
J53686046,Ranunculus repens,0,26/07/2022,Darragh Island N Drumlin
J53686046,Rumex acetosa,1,26/07/2022,Darragh Island N Drumlin
J53686046,Jacobaea vulgaris,0,26/07/2022,Darragh Island N Drumlin
J53686046,Succisa pratensis,3,26/07/2022,Darragh Island N Drumlin
J53686046,Trifolium pratense,2,26/07/2022,Darragh Island N Drumlin
J53686046,Trifolium repens,3,26/07/2022,Darragh Island N Drumlin
J53686046,Vicia cracca,1,26/07/2022,Darragh Island N Drumlin
J53686046,Viola riviniana,3,26/07/2022,Darragh Island N Drumlin
J53906015,Agrostis capillaris,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Cerastium fontanum,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Epilobium sp.,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,?Festuca rubra,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Festuca sp.,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Hypericum sp.,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Juncus acutiflorus/articulatus agg.,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Sonchus sp.,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Stellaria media,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Alopecurus geniculatus,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Anthoxanthum odoratum,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Arrhenatherum elatius,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Carex flacca,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Centaurea nigra,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Chamaenerion angustifolium,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Cirsium arvense,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Filipendula ulmaria,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Galium palustre,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Holcus lanatus,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Juncus effusus,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Lathyrus pratensis,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Lonicera periclymenum,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Lotus corniculatus,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Odontites vernus,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Plantago lanceolata,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Plantago major,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Potentilla anserina,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Prunella vulgaris,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Prunus spinosa,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Pteridium aquilinum,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Ranunculus acris,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Ranunculus repens,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Rubus fruticosus agg.,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Rumex acetosa,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Rumex crispus,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Stellaria graminea,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Trifolium repens,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Vicia cracca,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Vicia sepium,,31/07/2022,Darragh Island SE Rush Pasture
J53906015,Puccinellia maritima,,31/07/2022,Darragh Island SE Shore
