grid,taxon,domin,date,site
J52756019,Holcus lanatus,9,04/08/2022,Shamrock Island Corral
J52756019,Agrostis capillaris,8,04/08/2022,Shamrock Island Corral
J52756019,Trifolium repens,7,04/08/2022,Shamrock Island Corral
J52756019,Anthoxanthum odoratum,5,04/08/2022,Shamrock Island Corral
J52756019,Rhinanthus minor,5,04/08/2022,Shamrock Island Corral
J52756019,Hypochaeris radicata,4,04/08/2022,Shamrock Island Corral
J52756019,Potentilla erecta,4,04/08/2022,Shamrock Island Corral
J52756019,?Hieracium sp.,3,04/08/2022,Shamrock Island Corral
J52756019,Arrhenatherum elatius,3,04/08/2022,Shamrock Island Corral
J52756019,Dactylis glomerata,3,04/08/2022,Shamrock Island Corral
J52756019,Plantago lanceolata,3,04/08/2022,Shamrock Island Corral
J52756019,Rumex acetosa,3,04/08/2022,Shamrock Island Corral
J52756019,Viola riviniana,3,04/08/2022,Shamrock Island Corral
J52756019,Centaurea nigra,2,04/08/2022,Shamrock Island Corral
J52756019,Potentilla anglica,2,04/08/2022,Shamrock Island Corral
J52756019,?Taraxacum,2,04/08/2022,Shamrock Island Corral
J52756019,?Poaceae,1,04/08/2022,Shamrock Island Corral
J52756019,Cirsium vulgare,1,04/08/2022,Shamrock Island Corral
J52756019,Crataegus monogyna,1,04/08/2022,Shamrock Island Corral
J52756019,Hedera helix,1,04/08/2022,Shamrock Island Corral
J52756019,Lathyrus pratensis,1,04/08/2022,Shamrock Island Corral
J52756019,Prunella vulgaris,1,04/08/2022,Shamrock Island Corral
J52756019,Prunus spinosa,1,04/08/2022,Shamrock Island Corral
J52756019,Ranunculus acris,1,04/08/2022,Shamrock Island Corral
J52756019,Rubus fruticosus agg.,1,04/08/2022,Shamrock Island Corral
J52756019,Ulex europaeus,1,04/08/2022,Shamrock Island Corral
J52756019,Lolium perenne,0.5,04/08/2022,Shamrock Island Corral
J52756019,Conopodium majus,,04/08/2022,Shamrock Island Corral
J52756019,Arum maculatum,,04/08/2022,Shamrock Island Corral (beside gate)
J52756019,Galium aparine,,04/08/2022,Shamrock Island Corral (beside gate)
J52756019,Vicia cracca,,04/08/2022,Shamrock Island Corral (beside gate)
J52766019,Cerastium fontanum,2,04/08/2022,Shamrock Island Tilly's Bay
J52766019,?Elymus sp.,5,04/08/2022,Shamrock Island Tilly's Bay
J52766019,Festuca rubra,5.5,04/08/2022,Shamrock Island Tilly's Bay
J52766019,Poa humilis,3,04/08/2022,Shamrock Island Tilly's Bay
J52766019,?Poaceae,,04/08/2022,Shamrock Island Tilly's Bay
J52766019,Festuca arundinacea,4,04/08/2022,Shamrock Island Tilly's Bay
J52766019,Agrostis stolonifera,7,04/08/2022,Shamrock Island Tilly's Bay
J52766019,Arrhenatherum elatius,1,04/08/2022,Shamrock Island Tilly's Bay
J52766019,Lotus corniculatus,1,04/08/2022,Shamrock Island Tilly's Bay
J52766019,Oenanthe lachenalii,3,04/08/2022,Shamrock Island Tilly's Bay
J52766019,Potentilla anserina,2,04/08/2022,Shamrock Island Tilly's Bay
J52766019,Rumex crispus,2,04/08/2022,Shamrock Island Tilly's Bay
J52766019,Sonchus arvensis,5,04/08/2022,Shamrock Island Tilly's Bay
J52766019,Vicia cracca,0,04/08/2022,Shamrock Island Tilly's Bay
