grid,taxon,domin,date,site
J54376150,Heracleum sphondylium,,10/08/2022,Inisharoan SW Shore
J54376150,Plantago lanceolata,,10/08/2022,Inisharoan SW Shore
J54376150,Achillea millefolium,,10/08/2022,Inisharoan SW Shore
J54376150,Arrhenatherum elatius,,10/08/2022,Inisharoan SW Shore
J54376150,Beta vulgaris subsp. maritima,,10/08/2022,Inisharoan SW Shore
J54376150,Rumex crispus,,10/08/2022,Inisharoan SW Shore
J54376150,Centaurea nigra,,10/08/2022,Inisharoan SW Shore
J54376150,Dactylis glomerata,,10/08/2022,Inisharoan SW Shore
J54376150,Polygonum aviculare agg.,,10/08/2022,Inisharoan SW Shore
J54376150,Lotus corniculatus,,10/08/2022,Inisharoan SW Shore
J54376150,Tripleurospermum maritimum,,10/08/2022,Inisharoan SW Shore
J54376150,Atriplex prostrata agg.,,10/08/2022,Inisharoan SW Shore
J54376150,Cirsium vulgare,,10/08/2022,Inisharoan SW Shore
J54376150,?Taraxacum,,10/08/2022,Inisharoan SW Shore
J54376150,Jacobaea vulgaris,,10/08/2022,Inisharoan SW Shore
J54376150,Cerastium fontanum,,10/08/2022,Inisharoan SW Shore
J54406148,Sagina procumbens,,10/08/2022,Inisharoan S Point
J54406148,Festuca sp.,,10/08/2022,Inisharoan S Point
J54406148,Beta vulgaris subsp. maritima,,10/08/2022,Inisharoan S Point
J54406148,Plantago lanceolata,,10/08/2022,Inisharoan S Point
J54406148,Tripleurospermum maritimum,,10/08/2022,Inisharoan S Point
J54406148,Potentilla anserina,,10/08/2022,Inisharoan S Point
J54406148,Rumex crispus,,10/08/2022,Inisharoan S Point
J54406148,Odontites vernus,,10/08/2022,Inisharoan S Point
J54406148,?Poa,,10/08/2022,Inisharoan S Point
J54406148,Polygonum aviculare agg.,,10/08/2022,Inisharoan S Point
J54416149,Matricaria discoidea,,10/08/2022,Inisharoan
J54416149,Anagallis arvensis,,10/08/2022,Inisharoan
J54416149,Tripleurospermum maritimum,,10/08/2022,Inisharoan
J54416149,Potentilla anserina,,10/08/2022,Inisharoan
J54416149,Gnaphalium uliginosum,,10/08/2022,Inisharoan
J54416149,?Poa,,10/08/2022,Inisharoan
J54416149,Sonchus asper,,10/08/2022,Inisharoan
J54416150,Cerastium fontanum,,10/08/2022,Inisharoan
J54416150,Sonchus asper,,10/08/2022,Inisharoan
J54416150,Veronica serpyllifolia,,10/08/2022,Inisharoan
J54416150,Odontites vernus,,10/08/2022,Inisharoan
J54416150,Vicia cracca,,10/08/2022,Inisharoan
J54416149,Persicaria sp.,,10/08/2022,Inisharoan
J54416149,Epilobium sp.,,10/08/2022,Inisharoan
J54396148,Geranium molle,,10/08/2022,Inisharoan
J54416150,Juncus effusus,,10/08/2022,Inisharoan
J54416150,Vicia cracca,,10/08/2022,Inisharoan
J54416150,Heracleum sphondylium,,10/08/2022,Inisharoan
J54416150,Cirsium vulgare,,10/08/2022,Inisharoan
J54416150,Veronica chamaedrys,,10/08/2022,Inisharoan
J54416150,Odontites vernus,,10/08/2022,Inisharoan
J54416150,Sonchus arvensis,,10/08/2022,Inisharoan
J54416150,Oenanthe crocata,,10/08/2022,Inisharoan
J54416150,Plantago lanceolata,,10/08/2022,Inisharoan
J54416150,Rumex crispus,,10/08/2022,Inisharoan
J54416150,Epilobium sp.,,10/08/2022,Inisharoan
J54416150,Potentilla anserina,,10/08/2022,Inisharoan
J54416150,Urtica dioica,,10/08/2022,Inisharoan
J54416150,Cirsium arvense,,10/08/2022,Inisharoan
J54416150,Rumex sp.,,10/08/2022,Inisharoan
J54446155,Prunus spinosa,10,10/08/2022,Inisharoan Scrub
J54446155,Sambucus nigra,1,10/08/2022,Inisharoan Scrub
J54446155,Hypericum androsaemum,,10/08/2022,Inisharoan Scrub
J54446155,Arum maculatum,,10/08/2022,Inisharoan Scrub
J54436156,Glechoma hederacea,,10/08/2022,Inisharoan Scrub
J54436156,Galium aparine,,10/08/2022,Inisharoan Scrub
J54436156,Urtica dioica,,10/08/2022,Inisharoan Scrub
J54436156,Hedera helix,,10/08/2022,Inisharoan Scrub
J54436157,Rumex obtusifolius,,10/08/2022,Inisharoan
J54446160,Centaurea nigra,8,10/08/2022,Inisharoan
J54446160,Heracleum sphondylium,7,10/08/2022,Inisharoan
J54446160,Arrhenatherum elatius,9,10/08/2022,Inisharoan
J54446160,Achillea millefolium,1,10/08/2022,Inisharoan
J54446160,Rumex acetosa,2,10/08/2022,Inisharoan
J54446160,Jacobaea vulgaris,2,10/08/2022,Inisharoan
J54446160,Holcus lanatus,5,10/08/2022,Inisharoan
J54446160,Trifolium repens,3.5,10/08/2022,Inisharoan
J54436162,Lotus corniculatus,,10/08/2022,Inisharoan
J54416162,Juncus effusus,,10/08/2022,Inisharoan
J54416162,Oenanthe crocata,,10/08/2022,Inisharoan
J54416162,Odontites vernus,,10/08/2022,Inisharoan
J54416162,Lathyrus pratensis,,10/08/2022,Inisharoan
J54416162,Dactylis glomerata,,10/08/2022,Inisharoan
J54406164,Oenanthe crocata,9,10/08/2022,Inisharoan beside tree
J54406164,Cirsium arvense,5,10/08/2022,Inisharoan beside tree
J54406164,Juncus effusus,2,10/08/2022,Inisharoan beside tree
J54406164,Centaurea nigra,8,10/08/2022,Inisharoan beside tree
J54406164,Rumex acetosa,3,10/08/2022,Inisharoan beside tree
J54406164,Cerastium fontanum,1,10/08/2022,Inisharoan beside tree
J54406164,Trifolium repens,1,10/08/2022,Inisharoan beside tree
J54406164,Holcus lanatus,2,10/08/2022,Inisharoan beside tree
J54406164,Arrhenatherum elatius,7,10/08/2022,Inisharoan beside tree
J54406164,Trifolium pratense,0,10/08/2022,Inisharoan beside tree
J54406164,Lotus corniculatus,0,10/08/2022,Inisharoan beside tree
J54396166,Aster tripolium,,10/08/2022,Inisharoan Slipway
J54396166,Sonchus arvensis,,10/08/2022,Inisharoan Slipway
J54396166,?Elytrigia atherica,,10/08/2022,Inisharoan Slipway
J54396163,Ranunculus sceleratus,,10/08/2022,Inisharoan Pond
J54396163,Persicaria sp.,,10/08/2022,Inisharoan Pond
J54396163,Alopecurus geniculatus,,10/08/2022,Inisharoan Pond
J54396163,Rorippa palustris,,10/08/2022,Inisharoan Pond
J54396163,Myosotis sp.,,10/08/2022,Inisharoan Pond
J54396163,Sonchus asper,,10/08/2022,Inisharoan Pond
J54396163,Rumex obtusifolius,,10/08/2022,Inisharoan Pond
J54396163,Galium palustre,,10/08/2022,Inisharoan Pond
J54396163,Plantago lanceolata,,10/08/2022,Inisharoan Pond
J54396163,Juncus effusus,,10/08/2022,Inisharoan Pond
J54396163,Agrostis stolonifera,,10/08/2022,Inisharoan Pond
J54396163,Galium verum,,10/08/2022,Inisharoan Pond
J54396163,Myosotis sp. 2,,10/08/2022,Inisharoan Pond
J54396163,Salix sp.,,10/08/2022,Inisharoan Pond
J54326164,Hyacinthoides sp.,,10/08/2022,Inisharoan
J54336165,Ranunculus repens,,10/08/2022,Inisharoan
J54336165,Achillea millefolium,,10/08/2022,Inisharoan
J54396165,Salix sp.,,10/08/2022,Inisharoan
J54376164,Sisymbrium officinale,,10/08/2022,Inisharoan Building
