grid,taxon,domin,date,site
J55046001,Capsella bursa-pastoris,,14/08/2022,Great Minnis
J54976015,Beta vulgaris subsp. maritima,6,14/08/2022,Great Minnis
J54976015,Tripleurospermum maritimum,6,14/08/2022,Great Minnis
J54976015,?Festuca rubra,8,14/08/2022,Great Minnis
J54976015,Atriplex prostrata agg.,,14/08/2022,Great Minnis
J54976015,?Polygonum,,14/08/2022,Great Minnis
J54976015,Holcus lanatus,,14/08/2022,Great Minnis
J54976015,Rumex crispus,,14/08/2022,Great Minnis
J54976015,Jacobaea vulgaris,,14/08/2022,Great Minnis
J54976015,Odontites vernus,,14/08/2022,Great Minnis
J54976015,Plantago lanceolata,,14/08/2022,Great Minnis
J54976017,Trifolium pratense,,14/08/2022,Great Minnis
J54976017,Heracleum sphondylium,,14/08/2022,Great Minnis
J54976017,Trifolium repens,,14/08/2022,Great Minnis
J54976017,Veronica chamaedrys,,14/08/2022,Great Minnis
J54976017,Achillea millefolium,,14/08/2022,Great Minnis
J54976017,Rumex acetosa,,14/08/2022,Great Minnis
J54976017,Arrhenatherum elatius,7,14/08/2022,Great Minnis
J54976017,Holcus lanatus,7,14/08/2022,Great Minnis
J54976017,?Festuca,,14/08/2022,Great Minnis
J54976017,Plantago lanceolata,,14/08/2022,Great Minnis
J54976017,Cerastium fontanum,,14/08/2022,Great Minnis
J54976017,Dactylis glomerata,,14/08/2022,Great Minnis
J54986016,Centaurea nigra,,14/08/2022,Great Minnis
J54996016,Plantago lanceolata,2,14/08/2022,Great Minnis
J54996016,Odontites vernus,7,14/08/2022,Great Minnis
J54996016,Potentilla anserina,7,14/08/2022,Great Minnis
J54996016,Tripleurospermum maritimum,6,14/08/2022,Great Minnis
J54996016,Jacobaea vulgaris,4,14/08/2022,Great Minnis
J54996016,Holcus lanatus,4,14/08/2022,Great Minnis
J54996016,Cerastium fontanum,3,14/08/2022,Great Minnis
J55016014,Spergularia marina,,14/08/2022,Great Minnis
J55016014,Oxybasis rubra,,14/08/2022,Great Minnis
J55016014,Atriplex prostrata agg.,,14/08/2022,Great Minnis
J55016014,Tripleurospermum maritimum,,14/08/2022,Great Minnis
J55016014,?Polygonum,,14/08/2022,Great Minnis
J55016014,Aster tripolium,,14/08/2022,Great Minnis
J55046013,Lotus corniculatus,,14/08/2022,Great Minnis
J55046012,Oenanthe crocata,,14/08/2022,Great Minnis
J55046012,Cirsium vulgare,,14/08/2022,Great Minnis
J55086009,Arctium minus,,14/08/2022,Great Minnis
J55086009,Puccinellia maritima,,14/08/2022,Great Minnis
