grid,taxon,domin,date,site
J5459,Lotus corniculatus,,14/08/2022,Green
J5459,Rumex acetosa,,14/08/2022,Green
J5459,Holcus lanatus,,14/08/2022,Green
J5459,Trifolium repens,,14/08/2022,Green
J5459,Tripleurospermum maritimum,,14/08/2022,Green
J5459,Cirsium arvense,,14/08/2022,Green
J5459,Galium verum,,14/08/2022,Green
J5459,Achillea millefolium,,14/08/2022,Green
J5459,Heracleum sphondylium,,14/08/2022,Green
J5459,Arrhenatherum elatius,,14/08/2022,Green
J5459,Dactylis glomerata,,14/08/2022,Green
J5459,Stellaria graminea,,14/08/2022,Green
J5459,Sonchus arvensis,,14/08/2022,Green
J5459,?Oenanthe crocata,,14/08/2022,Green
J5459,Ranunculus repens,,14/08/2022,Green
J5459,Epilobium sp.,,14/08/2022,Green
J5459,Iris pseudacorus,,14/08/2022,Green
J5459,Cirsium vulgare,,14/08/2022,Green
J5459,Urtica dioica,,14/08/2022,Green
J5459,?Bolboschoenus maritimus,,14/08/2022,Green
J5459,Veronica chamaedrys,,14/08/2022,Green
J5459,Persicaria maculosa,,14/08/2022,Green
J5459,Potentilla anserina,,14/08/2022,Green
J5459,Stellaria media,,14/08/2022,Green
J5459,?Polygonum,,14/08/2022,Green
J5459,Aster tripolium,,14/08/2022,Green
J5459,Cochlearia officinalis,,14/08/2022,Green
J5459,Lathyrus pratensis,,14/08/2022,Green
J5459,Cerastium fontanum,,14/08/2022,Green
J5459,Rumex crispus,,14/08/2022,Green
J5459,Filipendula ulmaria,,14/08/2022,Green
J5459,Arum maculatum,,14/08/2022,Green
J5459,Trifolium pratense,,14/08/2022,Green
J5459,Odontites vernus,,14/08/2022,Green
J5459,Ranunculus sceleratus,,14/08/2022,Green
J5459,Rumex obtusifolius,,14/08/2022,Green
J5459,Persicaria hydropiper,,14/08/2022,Green
J5459,?Juncus articulatus,,14/08/2022,Green
J5459,Rorippa palustris,,14/08/2022,Green
J5459,Epilobium sp.,,14/08/2022,Green
J5459,Poa annua,,14/08/2022,Green
J5459,Ranunculus hederaceus,,14/08/2022,Green
J5459,Callitriche agg.,,14/08/2022,Green
J5459,?Gnaphalium uliginosum,,14/08/2022,Green
J5459,Juncus bufonius,,14/08/2022,Green
J5459,Lemna minor,,14/08/2022,Green
J5459,Agrostis capillaris,,14/08/2022,Green
J5459,Centaurea nigra,,14/08/2022,Green
J5459,Capsella bursa-pastoris,,14/08/2022,Green
J5459,Plantago lanceolata,,14/08/2022,Green
J5459,Crataegus monogyna,,14/08/2022,Green
J5459,Sambucus nigra,,14/08/2022,Green
J5459,Sonchus asper,,14/08/2022,Green
J5459,Hedera helix,,14/08/2022,Green
