grid,taxon,domin,date,site
J54096064,Atriplex prostrata agg.,,14/08/2022,Parton
J54096064,Raphanus raphanistrum subsp. maritimus,,14/08/2022,Parton
J54096064,Cochlearia officinalis,,14/08/2022,Parton
J54096064,Tripleurospermum maritimum,,14/08/2022,Parton
J54096064,Suaeda maritima,,14/08/2022,Parton
J54096064,Rumex crispus,,14/08/2022,Parton
J54096064,Aster tripolium,,14/08/2022,Parton
J54096064,Polygonum sp.,,14/08/2022,Parton
J54096064,Sonchus arvensis,,14/08/2022,Parton
J54096064,?Elytrigia,,14/08/2022,Parton
J54096064,Urtica dioica,,14/08/2022,Parton
J54096064,Holcus lanatus,,14/08/2022,Parton
J54096064,Arrhenatherum elatius,,14/08/2022,Parton
J54086060,Beta vulgaris subsp. maritima,,14/08/2022,Parton
J54086060,Cirsium vulgare,,14/08/2022,Parton
J54096060,Cirsium arvense,,14/08/2022,Parton
J54096060,Arum maculatum,,14/08/2022,Parton
J54086063,Juncus gerardii,,14/08/2022,Parton
J54096059,Festuca rubra,4,14/08/2022,Parton
J54096059,Arrhenatherum elatius,7,14/08/2022,Parton
J54096059,Dactylis glomerata,4,14/08/2022,Parton
J54096059,Holcus lanatus,8,14/08/2022,Parton
J54096059,Urtica dioica,3,14/08/2022,Parton
J54146056,Cirsium arvense,4,14/08/2022,Parton
J54146056,Holcus lanatus,10,14/08/2022,Parton
J54146056,Rumex acetosa,4,14/08/2022,Parton
J54146056,Ranunculus repens,6,14/08/2022,Parton
J54146056,Rumex crispus,1,14/08/2022,Parton
J54146056,Urtica dioica,1,14/08/2022,Parton
J54146056,Dactylorhiza fuchsii,3,14/08/2022,Parton
J54146056,Heracleum sphondylium,2,14/08/2022,Parton
J54146056,Arrhenatherum elatius,5,14/08/2022,Parton
J54146056,Sonchus arvensis,2,14/08/2022,Parton
J54146056,Agrostis stolonifera,2,14/08/2022,Parton
J54186058,Arrhenatherum elatius,7,14/08/2022,Parton
J54186058,?Elymus,5,14/08/2022,Parton
J54186058,Holcus lanatus,8,14/08/2022,Parton
J54186058,Heracleum sphondylium,5,14/08/2022,Parton
J54186058,Sonchus arvensis,4,14/08/2022,Parton
J54168058,Achillea millefolium,,14/08/2022,Parton
J54168058,Poa humilis,,14/08/2022,Parton
J54168058,Stellaria graminea,,14/08/2022,Parton
J54168058,Juncus effusus,,14/08/2022,Parton
J54166060,Trifolium repens,,14/08/2022,Parton
J54166060,Stellaria graminea,,14/08/2022,Parton
J54166060,Epilobium sp.,,14/08/2022,Parton
J54166060,Rubus fruticosus agg.,,14/08/2022,Parton
J54166060,Dactylorhiza fuchsii,,14/08/2022,Parton
J54176061,Oenanthe crocata,,14/08/2022,Parton
J54176061,Cerastium fontanum,,14/08/2022,Parton
J54166062,Ranunculus sceleratus,,14/08/2022,Parton
J54166062,Epilobium sp.,,14/08/2022,Parton
J54166062,Oxybasis rubra,,14/08/2022,Parton
J54166062,Juncus effusus,,14/08/2022,Parton
J54166062,Persicaria maculosa,,14/08/2022,Parton
J54166062,Sonchus arvensis,,14/08/2022,Parton
J54166062,Tripleurospermum maritimum,,14/08/2022,Parton
J54156063,Potentilla anserina,,14/08/2022,Parton
J54156063,Persicaria maculosa,,14/08/2022,Parton
J54156063,Dactylorhiza fuchsii,,14/08/2022,Parton
J54156063,Oenanthe crocata,,14/08/2022,Parton
J54156063,Agrostis stolonifera,,14/08/2022,Parton
J54146061,Sambucus nigra,,14/08/2022,Parton
J54146061,Rumex obtusifolius,,14/08/2022,Parton
J54146061,Cirsium arvense,,14/08/2022,Parton
J54146061,Rubus fruticosus agg.,,14/08/2022,Parton
J54146061,Sonchus arvensis,,14/08/2022,Parton
J54146061,Holcus lanatus,,14/08/2022,Parton
J54106066,Puccinellia maritima,,14/08/2022,Parton
