grid,taxon,domin,date,site
J55066042,Potentilla anserina,,21/08/2022,Little Minnis Pond
J55066042,Sonchus asper,,21/08/2022,Little Minnis Pond
J55066042,Matricaria discoidea,,21/08/2022,Little Minnis Pond
J55066042,Sagina procumbens,,21/08/2022,Little Minnis Pond
J55066042,Poa annua,,21/08/2022,Little Minnis Pond
J55066042,Odontites vernus,,21/08/2022,Little Minnis Pond
J55066042,Polygonum sp.,,21/08/2022,Little Minnis Pond
J55066042,Persicaria maculosa,,21/08/2022,Little Minnis Pond
J55066042,?Persicaria,,21/08/2022,Little Minnis Pond
J55066042,Epilobium sp.,,21/08/2022,Little Minnis Pond
J55066042,Veronica chamaedrys,,21/08/2022,Little Minnis Pond
J55066042,Stellaria media,,21/08/2022,Little Minnis Pond
J55066042,Gnaphalium uliginosum,,21/08/2022,Little Minnis Pond
J55066042,Cerastium fontanum,,21/08/2022,Little Minnis Pond
J55066042,Juncus effusus,,21/08/2022,Little Minnis Pond
J55046036,Juncus acutiflorus/articulatus agg.,,21/08/2022,Little Minnis
J55126034,Lotus corniculatus,,21/08/2022,Little Minnis
J55106038,Rorippa sp.,,21/08/2022,Little Minnis
J55106038,Odontites vernus,,21/08/2022,Little Minnis
J55106038,Epilobium sp.,,21/08/2022,Little Minnis
J55106038,Tripleurospermum maritimum,,21/08/2022,Little Minnis
J55106038,Potentilla anserina,,21/08/2022,Little Minnis
J55106038,Matricaria discoidea,,21/08/2022,Little Minnis
J55106038,Persicaria maculosa,,21/08/2022,Little Minnis
J55096039,Achillea ptarmica,,21/08/2022,Little Minnis
J55066040,Geranium molle,,21/08/2022,Little Minnis
J55066040,Cerastium fontanum,,21/08/2022,Little Minnis
J55066040,Veronica chamaedrys,,21/08/2022,Little Minnis
J55066040,Heracleum sphondylium,,21/08/2022,Little Minnis
J55066041,Sisymbrium officinale,,21/08/2022,Little Minnis
J55066041,Rumex acetosa,,21/08/2022,Little Minnis
J55066041,Cirsium vulgare,,21/08/2022,Little Minnis
J55026047,Tripleurospermum maritimum,,21/08/2022,Little Minnis
J55026047,Cochlearia officinalis,,21/08/2022,Little Minnis
J55026047,Achillea millefolium,,21/08/2022,Little Minnis
J55026047,Plantago lanceolata,,21/08/2022,Little Minnis
J55026047,Festuca rubra,,21/08/2022,Little Minnis
J55026047,Atriplex sp.,,21/08/2022,Little Minnis
J55026047,Rumex crispus,,21/08/2022,Little Minnis
