grid,taxon,domin,date,site
J5361,Aster tripolium,,09/09/2022,Craigaveagh
J5361,Tripleurospermum maritimum,,09/09/2022,Craigaveagh
J5361,Puccinellia maritima,,09/09/2022,Craigaveagh
J5361,Atriplex prostrata agg.,,09/09/2022,Craigaveagh
J5361,Cochlearia officinalis,,09/09/2022,Craigaveagh
J5361,Cirsium vulgare,,09/09/2022,Craigaveagh
J5361,Limonium humile,,09/09/2022,Craigaveagh
J5361,Festuca rubra,,09/09/2022,Craigaveagh
J5361,Arrhenatherum elatius,,09/09/2022,Craigaveagh
J5361,?Elymus,,09/09/2022,Craigaveagh
J5361,Beta vulgaris subsp. maritima,,09/09/2022,Craigaveagh
J5361,Rumex crispus,,09/09/2022,Craigaveagh
J5361,Juncus gerardii,,09/09/2022,Craigaveagh
J5361,Glaux maritima,,09/09/2022,Craigaveagh
J5361,Atriplex portulacoides,,09/09/2022,Craigaveagh
J5361,Sonchus arvensis,,09/09/2022,Craigaveagh
J5361,Silene uniflora,,09/09/2022,Craigaveagh
J5361,Lotus corniculatus,,09/09/2022,Craigaveagh
