grid,taxon,domin,date,site
J55066087,Lathyrus pratensis,,09/09/2022,Drummond
J55106084,Oxybasis rubra,,09/09/2022,Drummond
J55106084,Potentilla anserina,,09/09/2022,Drummond
J55106084,Gnaphalium uliginosum,,09/09/2022,Drummond
J55106084,Polygonum aviculare agg.,,09/09/2022,Drummond
J55106084,Persicaria maculosa,,09/09/2022,Drummond
J55106084,Persicaria hydropiper,,09/09/2022,Drummond
J55116087,Odontites vernus,,09/09/2022,Drummond
J55116087,Persicaria maculosa,,09/09/2022,Drummond
J55116087,Persicaria hydropiper,,09/09/2022,Drummond
J55116087,Sagina procumbens,,09/09/2022,Drummond
J55116087,Plantago major,,09/09/2022,Drummond
J55116087,Sonchus asper,,09/09/2022,Drummond
J55116087,Cerastium fontanum,,09/09/2022,Drummond
J55116087,Potentilla anserina,,09/09/2022,Drummond
J55116087,Gnaphalium uliginosum,,09/09/2022,Drummond
J55116087,Matricaria discoidea,,09/09/2022,Drummond
J55116087,Epilobium sp.,,09/09/2022,Drummond
J55116087,Tripleurospermum maritimum,,09/09/2022,Drummond
J55116087,Stellaria media,,09/09/2022,Drummond
J55116087,Jacobaea vulgaris,,09/09/2022,Drummond
J55056086,Lotus corniculatus,,09/09/2022,Drummond
J55056084,Trifolium repens,,09/09/2022,Drummond
J55056084,Plantago lanceolata,,09/09/2022,Drummond
J55056084,Veronica chamaedrys,,09/09/2022,Drummond
J55056084,Potentilla anserina,,09/09/2022,Drummond
J55056084,Holcus lanatus,,09/09/2022,Drummond
J55076083,Glechoma hederacea,,09/09/2022,Drummond
J55096082,Rubus fruticosus agg.,,09/09/2022,Drummond
J55096082,Sambucus nigra,,09/09/2022,Drummond
J55236090,Epilobium sp.,,09/09/2022,Drummond
J55236090,Persicaria maculosa,,09/09/2022,Drummond
J55236091,Galium aparine,,09/09/2022,Drummond
J55196095,?taraxacoid,,09/09/2022,Drummond
J55196095,Juncus acutiflorus,,09/09/2022,Drummond
J55186097,Prunus spinosa,,09/09/2022,Drummond
J55186097,Rubus fruticosus agg.,,09/09/2022,Drummond
J55186097,Arrhenatherum elatius,,09/09/2022,Drummond
J55186097,Achillea millefolium,,09/09/2022,Drummond
J55186097,Urtica dioica,,09/09/2022,Drummond
J55176098,Arctium minus,,09/09/2022,Drummond
J55176098,Geranium molle,,09/09/2022,Drummond
J55176098,Sambucus nigra,,09/09/2022,Drummond
J55096093,Rorippa palustris,,09/09/2022,Drummond
J55096093,Persicaria maculosa,,09/09/2022,Drummond
J55096093,Persicaria hydropiper,,09/09/2022,Drummond
J55096093,Tripleurospermum maritimum,,09/09/2022,Drummond
J55096093,Potentilla anserina,,09/09/2022,Drummond
J55096093,Gnaphalium uliginosum,,09/09/2022,Drummond
J55046091,Galium verum,5,09/09/2022,Drummond
J55046091,Lotus corniculatus,8,09/09/2022,Drummond
J55046091,Achillea millefolium,4,09/09/2022,Drummond
J55046091,Veronica chamaedrys,5,09/09/2022,Drummond
J55046091,Heracleum sphondylium,5,09/09/2022,Drummond
J55046091,Dactylis glomerata,6,09/09/2022,Drummond
J55046091,Arrhenatherum elatius,6,09/09/2022,Drummond
J55046091,Plantago lanceolata,5,09/09/2022,Drummond
J55046091,Rumex acetosa,3,09/09/2022,Drummond
J55046091,Centaurea nigra,4,09/09/2022,Drummond
J55046091,Stellaria graminea,2,09/09/2022,Drummond
J55046091,Festuca rubra,5,09/09/2022,Drummond
