grid,taxon,domin,date,site
J54906139,Capsella bursa-pastoris,,09/09/2022,Inishanier
J54936150,Vicia sepium,,09/09/2022,Inishanier
J54856145,Achillea millefolium,,09/09/2022,Inishanier
J54856145,Plantago lanceolata,,09/09/2022,Inishanier
J54856145,Cerastium fontanum,,09/09/2022,Inishanier
J54856145,Cirsium vulgare,,09/09/2022,Inishanier
J54856145,Rumex crispus,,09/09/2022,Inishanier
J54856145,Tripleurospermum maritimum,,09/09/2022,Inishanier
J54856145,Festuca rubra,,09/09/2022,Inishanier
J54856145,Atriplex prostrata agg.,,09/09/2022,Inishanier
J54856145,Odontites vernus,,09/09/2022,Inishanier
J54856145,Heracleum sphondylium,,09/09/2022,Inishanier
J54856145,Rumex acetosa,,09/09/2022,Inishanier
J54856145,Trifolium repens,,09/09/2022,Inishanier
J54856145,Holcus lanatus,,09/09/2022,Inishanier
J54856145,Arrhenatherum elatius,,09/09/2022,Inishanier
J54856145,?taraxacoid,,09/09/2022,Inishanier
J54856145,Aster tripolium,,09/09/2022,Inishanier
J54856145,?Polygonum,,09/09/2022,Inishanier
J54856145,Jacobaea vulgaris,,09/09/2022,Inishanier
J54856145,Dactylis glomerata,,09/09/2022,Inishanier
J54856145,Glaux maritima,,09/09/2022,Inishanier
J54836144,Oxybasis rubra,,09/09/2022,Inishanier
J54836144,Suaeda maritima,,09/09/2022,Inishanier
J54836144,Potentilla anserina,,09/09/2022,Inishanier
J54836144,Juncus effusus,,09/09/2022,Inishanier
J54836144,Sonchus arvensis,,09/09/2022,Inishanier
J54836144,Veronica chamaedrys,,09/09/2022,Inishanier
J54836144,Ranunculus repens,,09/09/2022,Inishanier
J54836142,Urtica dioica,,09/09/2022,Inishanier
J54836142,Galium verum,,09/09/2022,Inishanier
J54836142,Persicaria maculosa,,09/09/2022,Inishanier
J54916152,Puccinellia maritima,9,09/09/2022,Inishanier
J54916152,Suaeda maritima,4,09/09/2022,Inishanier
J54916152,Limonium humile,4,09/09/2022,Inishanier
J54916152,Aster tripolium,5,09/09/2022,Inishanier
J54916152,Plantago maritima,1,09/09/2022,Inishanier
J54916152,Atriplex prostrata agg.,1,09/09/2022,Inishanier
J54916152,Salicornia sp.,5,09/09/2022,Inishanier
J54916152,Spergularia media,3,09/09/2022,Inishanier
J54916152,Glaux maritima,2,09/09/2022,Inishanier
J54926151,Silene uniflora,,09/09/2022,Inishanier
J54926150,Lotus corniculatus,9,09/09/2022,Inishanier
J54926150,Achillea millefolium,4,09/09/2022,Inishanier
J54926150,Plantago lanceolata,5,09/09/2022,Inishanier
J54926150,Rumex acetosa,3,09/09/2022,Inishanier
J54926150,Galium verum,5,09/09/2022,Inishanier
J54926150,Dactylis glomerata,5,09/09/2022,Inishanier
J54926150,Holcus lanatus,4,09/09/2022,Inishanier
J54926150,Veronica chamaedrys,4,09/09/2022,Inishanier
