grid,taxon,domin,date,site
J52866303,Galeopsis tetrahit agg.,,28/07/2023,Rainey Island
J529630,Lotus corniculatus,,28/07/2023,Rainey Island
J529630,Achillea millefolium,,28/07/2023,Rainey Island
J529630,Conopodium majus,,28/07/2023,Rainey Island
J529630,Veronica chamaedrys,,28/07/2023,Rainey Island
J529630,Agrostis sp.,,28/07/2023,Rainey Island
J529630,Trifolium repens,,28/07/2023,Rainey Island
J529630,Anthoxanthum odoratum,,28/07/2023,Rainey Island
J529630,Plantago lanceolata,,28/07/2023,Rainey Island
J529630,Hyacinthoides sp.,,28/07/2023,Rainey Island
J53036297,Euphrasia nemorosa,,28/07/2023,Rainey Island
J53036298,Aira,,28/07/2023,Rainey Island
J53036298,Linum catharticum,,28/07/2023,Rainey Island
J53036298,Potentilla sp.,,28/07/2023,Rainey Island
J53036298,Trifolium pratense,,28/07/2023,Rainey Island
J53036298,Pilosella officinarum,,28/07/2023,Rainey Island
J53036298,Hypochaeris radicata,,28/07/2023,Rainey Island
J53036298,Lotus corniculatus,,28/07/2023,Rainey Island
J53036298,Danthonia decumbens,,28/07/2023,Rainey Island
J5362,Euphrasia nemorosa,,28/07/2023,Rainey Island
J531629,Euphrasia nemorosa,,28/07/2023,Rainey Island
J531629,Succisa pratensis,,28/07/2023,Rainey Island
J53136291,Carex flacca,,28/07/2023,Rainey Island
J53036299,Veronica chamaedrys,,28/07/2023,Rainey Island
J53016306,Aphanes arvensis agg.,,28/07/2023,Rainey Island
J53016306,Lotus corniculatus,,28/07/2023,Rainey Island
J53016306,Plantago lanceolata,,28/07/2023,Rainey Island
J53016306,Poa annua,,28/07/2023,Rainey Island
J53016306,Achillea millefolium,,28/07/2023,Rainey Island
J53016306,Jacobaea vulgaris,,28/07/2023,Rainey Island
J53016306,Cerastium fontanum,,28/07/2023,Rainey Island
J53016306,Lysimachia arvensis,,28/07/2023,Rainey Island
J52996306,Polygonum sp.,,28/07/2023,Rainey Island
J52996306,Rumex acetosella,,28/07/2023,Rainey Island
J52996306,Ranunculus repens,,28/07/2023,Rainey Island
J52996306,Sagina procumbens,,28/07/2023,Rainey Island
J52926299,Alopecurus geniculatus,,28/07/2023,Rainey Island
J52926295,Lepidium heterophyllum,,28/07/2023,Rainey Island
J52926295,Sedum anglicum,,28/07/2023,Rainey Island
J52906293,Lysimachia maritima,,28/07/2023,Rainey Island
J52906293,Juncus gerardii,,28/07/2023,Rainey Island
J52906293,Potentilla anserina,,28/07/2023,Rainey Island
J52906293,Tripolium pannonicum,,28/07/2023,Rainey Island
J52906293,Sonchus arvensis,,28/07/2023,Rainey Island
J52906293,Plantago maritima,,28/07/2023,Rainey Island
J52846292,Ranunculus sceleratus,,28/07/2023,Rainey Island
J52846292,Persicaria maculosa,,28/07/2023,Rainey Island
J52846292,Rorippa islandica,,28/07/2023,Rainey Island
J52846292,Potentilla anserina,,28/07/2023,Rainey Island
J52846292,Callitriche agg.,,28/07/2023,Rainey Island
J52846292,Rosa sp.,,28/07/2023,Rainey Island
J52846292,Juncus effusus,,28/07/2023,Rainey Island
J52846292,Lemna minor,,28/07/2023,Rainey Island
J52806293,Beta vulgaris subsp. maritima,,28/07/2023,Rainey Island
J52806293,Atriplex prostrata agg.,,28/07/2023,Rainey Island
J52806293,Polygonum sp.,,28/07/2023,Rainey Island
J52806293,Tripleurospermum maritimum,,28/07/2023,Rainey Island
J52806293,Hedera sp.,,28/07/2023,Rainey Island
J52806293,Rubus fruticosus agg.,,28/07/2023,Rainey Island
J528629,Silene uniflora,,28/07/2023,Rainey Island
J527629,Malva arborea,,28/07/2023,Rainey Island
J527629,Fraxinus excelsior,,28/07/2023,Rainey Island
J52706295,Geum urbanum,,28/07/2023,Rainey Island
J52706295,Geranium robertianum,,28/07/2023,Rainey Island
J52706295,Hedera sp.,,28/07/2023,Rainey Island
J52706295,Jacobaea vulgaris,,28/07/2023,Rainey Island
J52706295,Urtica dioica,,28/07/2023,Rainey Island
J52706295,Heracleum sphondylium,,28/07/2023,Rainey Island
J52706295,Ranunculus repens,,28/07/2023,Rainey Island
J52626283,Pteridophyta,,28/07/2023,Rainey Island
J52626283,Ranunculus repens,,28/07/2023,Rainey Island
J52626284,Holcus lanatus,,28/07/2023,Rainey Island
J52606283,Euphrasia nemorosa,,28/07/2023,Rainey Island
J52606283,Plantago lanceolata,,28/07/2023,Rainey Island
J52596284,Crepis sp.,,28/07/2023,Rainey Island
J52586285,Linum catharticum,,28/07/2023,Rainey Island
J52586285,Trifolium repens,,28/07/2023,Rainey Island
J52586285,Lotus corniculatus,,28/07/2023,Rainey Island
J52466299,Dactylorhiza fuchsii,,28/07/2023,Rainey Island
J52466299,Vicia cracca,,28/07/2023,Rainey Island
J52466299,Lathyrus pratensis,,28/07/2023,Rainey Island
J52466299,Agrostis sp.,,28/07/2023,Rainey Island
