Grid,Taxon,Site,Date,Notes
J52866303,Galeopsis tetrahit agg.,Rainey Island,28/07/2023,
J529630,Lotus corniculatus,Rainey Island,28/07/2023,
J529630,Achillea millefolium,Rainey Island,28/07/2023,
J529630,Conopodium majus,Rainey Island,28/07/2023,
J529630,Veronica chamaedrys,Rainey Island,28/07/2023,
J529630,Agrostis sp.,Rainey Island,28/07/2023,
J529630,Trifolium repens,Rainey Island,28/07/2023,
J529630,Anthoxanthum odoratum,Rainey Island,28/07/2023,
J529630,Plantago lanceolata,Rainey Island,28/07/2023,
J529630,Hyacinthoides sp.,Rainey Island,28/07/2023,
J53036297,Euphrasia nemorosa,Rainey Island,28/07/2023,
J53036298,?Poaceae,Rainey Island,28/07/2023,
J53036298,Linum catharticum,Rainey Island,28/07/2023,
J53036298,Potentilla sp.,Rainey Island,28/07/2023,
J53036298,Trifolium pratense,Rainey Island,28/07/2023,
J53036298,Pilosella officinarum,Rainey Island,28/07/2023,
J53036298,?Hypochaeris radicata,Rainey Island,28/07/2023,
J53036298,Lotus corniculatus,Rainey Island,28/07/2023,
J53036298,Danthonia decumbens,Rainey Island,28/07/2023,
J5362,Euphrasia nemorosa,Rainey Island,28/07/2023,Specimens retained
J531629,Euphrasia nemorosa,Rainey Island,28/07/2023,
J531629,Succisa pratensis,Rainey Island,28/07/2023,
J53136291,Carex flacca,Rainey Island,28/07/2023,
J53036299,Veronica chamaedrys,Rainey Island,28/07/2023,
J53016306,Aphanes arvensis agg.,Rainey Island,28/07/2023,
J53016306,Lotus corniculatus,Rainey Island,28/07/2023,
J53016306,Plantago lanceolata,Rainey Island,28/07/2023,
J53016306,Poa annua,Rainey Island,28/07/2023,
J53016306,Achillea millefolium,Rainey Island,28/07/2023,
J53016306,Jacobaea vulgaris,Rainey Island,28/07/2023,
J53016306,Cerastium fontanum,Rainey Island,28/07/2023,
J53016306,Lysimachia arvensis,Rainey Island,28/07/2023,
J52996306,Polygonum sp.,Rainey Island,28/07/2023,
J52996306,Rumex acetosella,Rainey Island,28/07/2023,
J52996306,Ranunculus repens,Rainey Island,28/07/2023,
J52996306,Sagina procumbens,Rainey Island,28/07/2023,
J52926299,?Alopecurus geniculatus,Rainey Island,28/07/2023,Specimen retained
J52926295,Lepidium heterophyllum,Rainey Island,28/07/2023,
J52926295,Sedum anglicum,Rainey Island,28/07/2023,
J52906293,Lysimachia maritima,Rainey Island,28/07/2023,
J52906293,Juncus gerardii,Rainey Island,28/07/2023,
J52906293,Potentilla anserina,Rainey Island,28/07/2023,
J52906293,Tripolium pannonicum,Rainey Island,28/07/2023,
J52906293,Sonchus arvensis,Rainey Island,28/07/2023,
J52906293,Plantago maritima,Rainey Island,28/07/2023,
J52846292,Ranunculus sceleratus,Rainey Island,28/07/2023,
J52846292,Persicaria maculosa,Rainey Island,28/07/2023,
J52846292,?Rorippa islandica,Rainey Island,28/07/2023,
J52846292,Potentilla anserina,Rainey Island,28/07/2023,
J52846292,Callitriche agg.,Rainey Island,28/07/2023,
J52846292,Rosa sp.,Rainey Island,28/07/2023,
J52846292,Juncus effusus,Rainey Island,28/07/2023,
J52846292,Lemna minor,Rainey Island,28/07/2023,
J52806293,Beta vulgaris subsp. maritima,Rainey Island,28/07/2023,
J52806293,Atriplex prostrata agg.,Rainey Island,28/07/2023,
J52806293,Polygonum sp.,Rainey Island,28/07/2023,
J52806293,Tripleurospermum maritimum,Rainey Island,28/07/2023,
J52806293,Hedera sp.,Rainey Island,28/07/2023,
J52806293,Rubus fruticosus agg.,Rainey Island,28/07/2023,
J528629,Silene uniflora,Rainey Island,28/07/2023,
J527629,Malva arborea,Rainey Island,28/07/2023,
J527629,Fraxinus excelsior,Rainey Island,28/07/2023,
J52706295,Geum urbanum,Rainey Island,28/07/2023,
J52706295,Geranium robertianum,Rainey Island,28/07/2023,
J52706295,Hedera sp.,Rainey Island,28/07/2023,
J52706295,Jacobaea vulgaris,Rainey Island,28/07/2023,
J52706295,Urtica dioica,Rainey Island,28/07/2023,
J52706295,Heracleum sphondylium,Rainey Island,28/07/2023,
J52706295,Ranunculus repens,Rainey Island,28/07/2023,
J52626283,?Pteridophyta,Rainey Island,28/07/2023,
J52626283,Ranunculus repens,Rainey Island,28/07/2023,
J52626284,Holcus lanatus,Rainey Island,28/07/2023,
J52606283,Euphrasia nemorosa,Rainey Island,28/07/2023,
J52606283,Plantago lanceolata,Rainey Island,28/07/2023,
J52596284,Crepis sp.,Rainey Island,28/07/2023,
J52586285,Linum catharticum,Rainey Island,28/07/2023,
J52586285,Trifolium repens,Rainey Island,28/07/2023,
J52586285,Lotus corniculatus,Rainey Island,28/07/2023,
J52466299,Dactylorhiza fuchsii,Rainey Island,28/07/2023,
J52466299,Vicia cracca,Rainey Island,28/07/2023,
J52466299,Lathyrus pratensis,Rainey Island,28/07/2023,
J52466299,Agrostis sp.,Rainey Island,28/07/2023,
J52466299,Anthoxanthum odoratum,Rainey Island,28/07/2023,
J52466299,Ranunculus acris,Rainey Island,28/07/2023,
J52486306,Atriplex portulacoides,Rainey Island,28/07/2023,
J52486306,Suaeda maritima,Rainey Island,28/07/2023,
J524630,?Puccinellia maritima,Rainey Island,28/07/2023,
J524630,Limonium humile,Rainey Island,28/07/2023,
J524630,Plantago maritima,Rainey Island,28/07/2023,
J52476308,Armeria maritima,Rainey Island,28/07/2023,
J52476308,?Salicornia sp.,Rainey Island,28/07/2023,
J52476308,Triglochin maritima,Rainey Island,28/07/2023,
J52546304,Stachys palustris,Rainey Island,28/07/2023,
J52546304,Rumex acetosa,Rainey Island,28/07/2023,
J52546304,Potentilla anserina,Rainey Island,28/07/2023,
J52546304,Agrostis sp.,Rainey Island,28/07/2023,
J52556297,Dactylorhiza fuchsii,Rainey Island,28/07/2023,
J52556297,Trifolium pratense,Rainey Island,28/07/2023,
J52556297,Plantago lanceolata,Rainey Island,28/07/2023,
J52556297,Potentilla anserina,Rainey Island,28/07/2023,
J52556297,Agrostis sp.,Rainey Island,28/07/2023,
J52556297,Vicia cracca,Rainey Island,28/07/2023,
J52596300,Salix sp.,Rainey Island,28/07/2023,
J52596300,Typha latifolia,Rainey Island,28/07/2023,
J52616299,Gnaphalium uliginosum,Rainey Island,28/07/2023,
J52616299,Bellis perennis,Rainey Island,28/07/2023,
J52616299,Potentilla anserina,Rainey Island,28/07/2023,
J52616299,Holcus lanatus,Rainey Island,28/07/2023,
J52616299,?Alopecurus geniculatus,Rainey Island,28/07/2023,
J52646299,?Geranium molle,Rainey Island,28/07/2023,
J52646299,?Veronica persica,Rainey Island,28/07/2023,
J52646299,Rumex acetosella,Rainey Island,28/07/2023,
J52646299,Plantago lanceolata,Rainey Island,28/07/2023,
J526629,Cirsium vulgare,Rainey Island,28/07/2023,
J52726294,?Brassicaceae,Rainey Island,28/07/2023,
J52916306,Pilosella officinarum,Rainey Island,28/07/2023,
J52996305,Plantago major,Rainey Island,28/07/2023,
J53036305,Dactylorhiza fuchsii,Rainey Island,28/07/2023,
J53036298,Ulex europaeus,Rainey Island,28/07/2023,
