grid,taxon,domin,date,site
,Odontites vernus,,27/07/2024,Rainey Island
,Gnaphalium uliginosum,,27/07/2024,Rainey Island
,Aphanes arvensis agg.,,27/07/2024,Rainey Island
,Myosotis arvensis,,27/07/2024,Rainey Island
,Danthonia decumbens,,27/07/2024,Rainey Island
,Dactylorhiza fuchsii,,27/07/2024,Rainey Island
,Carex flacca,,27/07/2024,Rainey Island
,Linum catharticum,,27/07/2024,Rainey Island
,Carex sp.,,27/07/2024,Rainey Island
,Persicaria maculosa,,27/07/2024,Rainey Island
,Ranunculus sceleratus,,27/07/2024,Rainey Island
,Umbilicus rupestris,,27/07/2024,Rainey Island
,Geum urbanum,,27/07/2024,Rainey Island
,Dryopteris sp.,,27/07/2024,Rainey Island
,Vicia sepium,,27/07/2024,Rainey Island
,Rosa sp.,,27/07/2024,Rainey Island
,Suaeda maritima,,27/07/2024,Rainey Island
,Cochlearia officinalis,,27/07/2024,Rainey Island
,Puccinellia maritima,,27/07/2024,Rainey Island
,Festuca ovina,,27/07/2024,Rainey Island
,Euphrasia nemorosa,,27/07/2024,Rainey Island
,Spergula arvensis,,27/07/2024,Rainey Island
,Teucrium scorodonia,,27/07/2024,Rainey Island
,Rumex sanguineus,,27/07/2024,Rainey Island
,Arctium minus,,27/07/2024,Rainey Island
,Oxalis acetosella,,27/07/2024,Rainey Island
,Galeopsis tetrahit agg.,,27/07/2024,Rainey Island
,Lysimachia nemorum,,27/07/2024,Rainey Island
,Ajuga reptans,,27/07/2024,Rainey Island
,Scrophularia sp.,,27/07/2024,Rainey Island
,Veronica chamaedrys,,27/07/2024,Rainey Island
